sym,name,region_id,instrument_id,blp_symbol,blp_type,exchange_id,sector_id,subsector_id,tt_exchange,orderGenRegion_id,varsubsector_id,trading_start_time,trading_end_time
AD,AUD/USD,WORLD,FX,AUDUSD,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
ADVN,NYSE Advancing,US,FUT,ADVN,INDEX,CASH,EQUITY,EQUITY,NOT_TT,US,EQUITY,00:00:00,16:00:00
AED,USD/AED,WORLD,FX,USDAED,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
AEX,AMSTERDAM IDX,EUROPE,FUT,EO,INDEX,EURONEXT,EQUITY,EQUITY,NYSE_Liffe,EUROPE,EQUITY,03:00:00,11:35:00
AHL,MAN AHL DIVERSIFIED PLC,US,FUT,EDFDGLI ID,INDEX,CASH,EQUITY,EQUITY,NOT_TT,US,EQUITY,00:00:00,15:00:00
AI,FTSE/JSE,EUROPE,FUT,AI,INDEX,JSE,EQUITY,EQUITY,NOT_TT,EUROPE,EQUITY,02:30:00,11:45:00
AJ,AUD/JPY,WORLD,FX,AUDJPY,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
ARMS,NYSE Short Term Trading,US,FUT,ARMS,INDEX,CASH,EQUITY,EQUITY,NOT_TT,US,EQUITY,00:00:00,16:00:00
ARS,USD/ARS,WORLD,FX,USDARS,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
BAX,CAD BANKERS 3M,US,FUT,BA,COMDTY,ME,FI,FI_SM,MX,US,FI,08:00:00,15:00:00
BE,EUR/GBP,WORLD,FX,EURGBP,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
BO,SOYBEAN OIL,US,FUT,BO,COMDTY,CBT,COMMODITY,AGR,CME-H,US,AGR,10:30:00,14:15:00
BP,GBP/USD,WORLD,FX,GBPUSD,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
BRL,USD/BRL,WORLD,FX,USDBRL,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
C,CORN,US,FUT,C,COMDTY,CBT,COMMODITY,AGR,CME-H,US,AGR,09:30:00,14:15:00
CC,COCOA,US,FUT,CC,COMDTY,CSCE,COMMODITY,AGR,ICE_IPE,US,AGR,08:00:00,11:50:00
CGB,CAN 10Y,US,FUT,CN,COMDTY,ME,FI,FI_LM,MX,US,FI,08:00:00,15:00:00
CJ,CAD/JPY,WORLD,FX,CADJPY,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
CL,LIGHT CRUDE,US,FUT,CL,COMDTY,NYMEX,COMMODITY,ENERGY,CME-H,US,ENERGY,09:00:00,14:30:00
CLP,USD/CLP,WORLD,FX,USDCLP,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
CNY,USD/CNY,WORLD,FX,USDCNY,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
COP,USD/COP,WORLD,FX,USDCOP,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
