tinfo,description,active,order,group,reportinggroup,avgtradelength,sym
MT,NULL,1,500,IntermediateTermTrendFollowing,IntermediateTermTrendFollowing,9.374377882,A15
LT,NULL,1,8020,Beta,Beta,7,BB
ST,NULL,1,10310,MeanReversion,MeanReversion,1,BP1
ST,NULL,1,10320,MeanReversion,MeanReversion,1,BP4
ST,NULL,1,10330,MeanReversion,MeanReversion,1,BP7
LT,NULL,1,620,LongTermTrendFollowing,LongTermTrendFollowing,32.64038534,BX2
LT,NULL,1,840,LongTermTrendFollowing,LongTermTrendFollowing,32.64038534,BX2L
LT,NULL,1,830,LongTermTrendFollowing,LongTermTrendFollowing,32.64038534,BX2S
MT,NULL,1,470,IntermediateTermTrendFollowing,IntermediateTermTrendFollowing,8.717628912,CD
MT,NULL,1,290,TrendBreakout,IntermediateTermTrendFollowing,10.65409414,CM
ST,NULL,1,46,VolatilityBreakout,VolatilityBreakout,1.718684569,CR
ST,NULL,1,48,VolatilityBreakout,VolatilityBreakout,1.718684569,CR2
ST,NULL,1,50,VolatilityBreakout,VolatilityBreakout,1.718684569,CR3
ST,NULL,1,52,VolatilityBreakout,VolatilityBreakout,1.718684569,CRE
ST,NULL,1,54,VolatilityBreakout,VolatilityBreakout,1.718684569,CRE2
ST,NULL,1,56,VolatilityBreakout,VolatilityBreakout,1.718684569,CRE3
ST,NULL,1,40,VolatilityBreakout,VolatilityBreakout,2.203758939,CT
ST,NULL,1,42,VolatilityBreakout,VolatilityBreakout,2.203758939,CT2
ST,NULL,1,44,VolatilityBreakout,VolatilityBreakout,2.203758939,CT3
ST,NULL,1,10050,VolatilityBreakout,VolatilityBreakout,1,CTQ
ST,NULL,1,10060,VolatilityBreakout,VolatilityBreakout,1,CTQ2
MT,NULL,1,10150,VolatilityBreakout,VolatilityBreakout,8.717628912,DC
MT,NULL,0,10210,VolatilityBreakout,VolatilityBreakout,NULL,DC2
LT,NULL,1,7520,MarketTiming,MarketTiming,60,DMT
LT,NULL,1,7530,MarketTiming,MarketTiming,42.63906592,DMT1
LT,NULL,1,7540,MarketTiming,MarketTiming,57.75863039,DMT2
LT,NULL,1,7550,MarketTiming,MarketTiming,103.1028703,DMT3
LT,NULL,1,7560,MarketTiming,MarketTiming,110,DMT4
LT,NULL,1,7580,MarketFixed,MarketFixed,255,DMTFS
LT,NULL,1,7570,MarketTiming,MarketTiming,60,DMTM
MT,NULL,1,320,TrendBreakout,IntermediateTermTrendFollowing,13.11729979,EM
LT,NULL,1,7620,MarketTiming,MarketTiming,76.37298406,EMT1
LT,NULL,1,7640,MarketTiming,MarketTiming,131.0049013,EMT2
LT,NULL,1,7670,MarketTiming,MarketTiming,181.8235949,EMT3
LT,NULL,1,7670,MarketFixed,MarketFixed,255,EMTFL
ST,NULL,1,120,VolatilityBreakout,VolatilityBreakout,2.685907597,ET
ST,NULL,1,122,VolatilityBreakout,VolatilityBreakout,2.685907597,ET2
ST,NULL,1,124,VolatilityBreakout,VolatilityBreakout,2.685907597,ET3
ST,NULL,1,10100,VolatilityBreakout,VolatilityBreakout,1,ETQ
ST,NULL,1,10110,VolatilityBreakout,VolatilityBreakout,1,ETQ2
LT,NULL,1,920,FXF,FXF,60,FXF
